year,number
1920,72
1921,177
1922,22
1923,127
1924,23
1925,77
1926,182
1927,27
1928,132
1929,237
1930,82
1931,187
1932,32
1933,137
1934,242
1935,87
1936,192
1937,37
1938,142
1939,247
1940,92
1941,197
1942,42
1943,147
1944,252
1945,97
1946,202
1947,47
1948,152
1949,257
1950,102
1951,207
1952,52
1953,157
1954,2
1955,107
1956,212
1957,57
1958,162
1959,7
1960,112
1961,217
1962,62
1963,167
1964,12
1965,117
1966,222
1967,67
1968,172
1969,17
1970,122
1971,227
1972,72
1973,177
1974,22
1975,127
1976,232
1977,77
1978,182
1979,27
1980,132
1981,237
1982,82
1983,187
1984,32
1985,137
1986,242
1987,87
1988,192
1989,37
1990,142
1991,247
1992,92
1993,197
1994,42
1995,147
1996,252
1997,97
1998,202
1999,47
2000,152
2001,257
2002,102
2003,207
2004,52
2005,157
2006,2
2007,107
2008,212
2009,57
2010,162
2011,7
2012,112
2013,217
2014,62
2015,167
2016,12
2017,117
2018,222
2019,67
2020,172
2021,17
2022,122
2023,227
2024,72
2025,177
2026,22
2027,127
2028,232
2029,77
2030,182
2031,27
2032,132
2033,237
2034,82
2035,187
2036,32
2037,137
2038,242
2039,87
2040,192
2041,37
2042,142
2043,247
2044,92
2045,197
2046,42
2047,147
2048,252
2049,97
2050,202
2051,47
2052,152
2053,257
2054,102
2055,207
2056,52
2057,157
2058,2
2059,107
2060,212
2061,57
2062,162
2063,7
2064,112