rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
17,Ken Rosewall,Australia,AUS,false,1934-11-02,220,159,40,21,60,12,46,0,41,0,15,8,3,14,0,1,10,7,3,0,0,0,0,4,0,2,7,0,13,40,26,540-193,2388,1968-06-10,73.7%
254,Mal Anderson,Australia,AUS,false,1935-03-03,8,8,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84-52,2051,1973-01-08,61.8%
527,Alejandro Olmedo,Peru,PER,false,1936-03-24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46-56,1975,1968-07-14,45.1%
155,Roy Emerson,Australia,AUS,false,1936-11-03,21,18,2,1,4,0,5,0,9,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,269-165,2225,1968-04-24,62.0%
527,Ramanathan Krishnan,India,IND,false,1937-04-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22-13,1840,1969-05-17,62.9%
375,Barry Phillips Moore,Australia,AUS,false,1937-07-09,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200-223,1932,1972-07-29,47.3%
79,Andres Gimeno,Spain,ESP,false,1937-08-03,45,40,4,1,17,0,11,0,12,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,11,0,245-130,2261,1969-03-31,65.3%
527,Ron Holmberg,United States,USA,false,1938-01-27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45-69,1980,1968-09-12,39.5%
287,Manuel Santana,Spain,ESP,false,1938-05-10,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,110-44,2157,1969-08-18,71.4%
10,Rod Laver,Australia,AUS,false,1938-08-09,389,202,101,86,45,10,84,0,61,2,35,8,22,28,8,21,17,19,19,5,0,5,0,5,0,2,18,0,25,72,219,571-145,2509,1969-09-10,79.7%
177,Fred Stolle,Australia,AUS,false,1938-10-08,16,15,0,1,4,0,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,173-166,2178,1969-06-30,51.0%
480,Wilhelm Bungert,Germany,GER,false,1939-04-01,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65-33,2052,1968-07-26,66.3%
440,Christian Kuhnke,Germany,GER,false,1939-04-13,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63-33,1977,1971-05-31,65.6%
269,Ion Tiriac,Romania,ROU,false,1939-05-09,7,7,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,227-198,2058,1968-07-15,53.4%
173,Nikola Pilic,Croatia,CRO,false,1939-08-27,17,17,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,302-249,2143,1968-04-04,54.8%
635,Boro Jovanovic,Croatia,CRO,false,1939-10-21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-85,1881,1973-06-16,41.0%
201,Bob Hewitt,South Africa,RSA,false,1940-01-12,13,13,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,264-169,2132,1970-07-06,61.0%
421,Bob Carmichael,Australia,AUS,false,1940-07-04,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,211-255,2002,1971-03-21,45.3%
527,Jan Leschly,Denmark,DEN,false,1940-09-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-34,2033,1968-02-27,60.5%
160,Earl Butch Buchholz,United States,USA,false,1940-09-16,20,18,1,1,3,0,4,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,95-78,2226,1968-05-17,54.9%
267,Martin Mulligan,Australia,AUS,false,1940-10-18,7,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,109-64,2136,1969-05-26,63.0%
111,Cliff Drysdale,South Africa,RSA,false,1941-05-26,31,30,0,1,3,0,17,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,0,398-246,2227,1971-08-17,61.8%
380,Pierre Barthes,France,FRA,false,1941-09-13,4,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182-184,2126,1968-02-23,49.7%
154,Roger Taylor,United Kingdom,GBR,false,1941-10-14,21,21,0,0,7,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,369-294,2118,1973-07-16,55.7%
82,Marty Riessen,United States,USA,false,1941-12-04,44,42,0,2,2,1,21,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,13,0,494-306,2223,1972-05-17,61.8%
440,Tom Edlefsen,United States,USA,false,1941-12-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,95-136,1889,1972-09-25,41.1%
308,Francois Jauffret,France,FRA,false,1942-02-09,6,6,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,212-140,2026,1976-06-14,60.2%
308,Juan Gisbert,Spain,ESP,false,1942-04-05,6,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,213-159,1985,1972-03-12,57.3%
348,Frank Froehling,United States,USA,false,1942-05-19,5,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80-112,1968,1971-10-15,41.7%
397,Frew Mcmillan,South Africa,RSA,false,1942-05-20,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,177-240,1932,1978-07-10,42.4%
160,Dennis Ralston,United States,USA,false,1942-07-27,20,18,1,1,5,0,3,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,152-128,2242,1968-06-07,54.3%
129,Mark Cox,United Kingdom,GBR,false,1943-07-05,25,24,0,1,1,0,8,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,14,0,397-274,2132,1977-03-28,59.2%
18,Arthur Ashe,United States,USA,false,1943-07-10,211,174,23,14,47,17,53,0,52,5,14,5,0,4,0,0,7,7,0,0,0,0,0,3,0,1,4,0,8,45,0,783-258,2354,1976-03-11,75.2%
635,Owen Davidson,Australia,AUS,false,1943-10-04,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82-108,2034,1969-04-22,43.2%
440,Milan Holecek,Czech Republic,CZE,false,1943-10-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,114-157,1858,1974-04-06,42.1%
144,Clark Graebner,United States,USA,false,1943-11-04,23,23,0,0,7,1,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,310-154,2147,1968-09-21,66.8%
223,Bill Bowrey,Australia,AUS,false,1943-12-25,10,10,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,99-109,2025,1968-04-01,47.6%
252,Charlie Pasarell,United States,USA,false,1944-02-12,8,8,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284-269,2065,1968-06-24,51.4%
31,Tom Okker,Netherlands,NED,false,1944-02-22,123,106,11,6,18,5,40,0,43,0,5,3,0,3,0,0,5,1,0,0,0,0,0,0,0,0,4,0,4,34,0,643-274,2317,1974-04-01,70.1%
19,John Newcombe,Australia,AUS,false,1944-05-23,210,160,35,15,62,8,44,0,44,2,18,8,1,8,0,2,9,4,0,0,0,0,0,5,0,1,6,0,12,41,8,564-224,2327,1971-08-17,71.6%
635,Patricio Cornejo,Chile,CHI,false,1944-06-06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152-216,1861,1974-06-17,41.3%
221,Dick Crealy,Australia,AUS,false,1944-09-18,11,11,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,321-313,1989,1970-07-25,50.6%
215,Colin Dibley,Australia,AUS,false,1944-09-19,11,11,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,332-313,1984,1973-01-29,51.5%
119,Alex Metreveli,Russian Federation,RUS,false,1944-11-02,28,28,0,0,13,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,276-101,2208,1974-09-27,73.2%
507,Jim Osborne,United States,USA,false,1945-02-01,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97-112,1953,1970-02-22,46.4%
480,Ove Nils Bengtson,Sweden,SWE,false,1945-04-05,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132-180,1885,1974-04-07,42.3%
288,Thomaz Koch,Brazil,BRA,false,1945-05-11,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,211-164,2031,1971-04-29,56.3%
40,Tony Roche,Australia,AUS,false,1945-05-17,95,75,16,4,26,0,25,0,23,1,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,21,0,361-182,2355,1969-03-02,66.5%
397,Mike Belkin,Canada,CAN,false,1945-06-29,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,75-53,1936,1971-07-31,58.6%
507,Allan Stone,Australia,AUS,false,1945-10-14,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225-237,1992,1975-10-12,48.7%
59,Jan Kodes,Czech Republic,CZE,false,1946-03-01,66,62,1,3,38,6,7,0,10,1,0,1,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,3,9,0,490-281,2197,1973-09-12,63.6%
197,Ray Ruffels,Australia,AUS,false,1946-03-23,14,14,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,219-200,2012,1972-02-13,52.3%
167,Jaime Fillol,Chile,CHI,false,1946-06-03,18,18,0,0,1,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,523-362,2145,1975-10-20,59.1%
440,Sherwood Stewart,United States,USA,false,1946-06-06,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,168-234,1907,1975-08-25,41.8%
635,Ivan Molina,Colombia,COL,false,1946-06-16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165-203,1925,1975-11-02,44.8%
16,Ilie Nastase,Romania,ROU,false,1946-07-19,228,163,46,19,36,27,35,0,63,2,19,8,9,10,0,0,9,5,3,0,0,2,0,2,4,0,6,0,12,65,88,891-333,2363,1976-09-15,72.8%
386,Robert Maud,South Africa,RSA,false,1946-08-12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,101-126,1921,1971-06-14,44.5%
342,Raymond Moore,South Africa,RSA,false,1946-08-24,5,5,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,341-381,1995,1977-09-14,47.2%
421,John Cooper,Australia,AUS,false,1946-11-04,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73-74,1916,1972-09-13,49.7%
24,Stan Smith,United States,USA,false,1946-12-14,148,125,18,5,29,19,22,0,49,6,7,5,0,6,0,0,5,0,0,0,0,0,0,2,1,1,3,0,7,49,0,776-307,2381,1973-05-16,71.7%
118,Tom Gorman,United States,USA,false,1946-12-19,28,27,0,1,6,3,9,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,0,401-287,2122,1974-04-01,58.3%
72,Cliff Richey,United States,USA,false,1946-12-31,54,49,4,1,7,3,12,0,25,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,468-219,2212,1970-09-16,68.1%
527,William Harris,United States,USA,false,1947-01-14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7-8,1659,1969-07-14,46.7%
397,Vladimir Zednik,Czech Republic,CZE,false,1947-02-01,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,113-151,1907,1978-07-02,42.8%
179,Onny Parun,New Zealand,NZL,false,1947-04-15,16,16,0,0,8,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,377-344,2097,1975-06-18,52.3%
397,Han Jurgen Pohmann,Germany,GER,false,1947-05-23,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,122-123,1943,1976-10-11,49.8%
350,Gerald Battrick,United Kingdom,GBR,false,1947-05-27,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,171-199,1984,1972-02-27,46.2%
142,Zeljko Franulovic,Croatia,CRO,false,1947-06-13,23,23,0,0,7,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,412-309,2126,1971-03-08,57.1%
150,Robert Lutz,United States,USA,false,1947-08-29,22,22,0,0,3,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,450-296,2134,1971-10-25,60.3%
421,Ismail El Shafei,Egypt,EGY,false,1947-11-15,3,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244-294,2013,1974-07-08,45.4%
342,Georges Goven,France,FRA,false,1948-04-26,5,5,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195-229,2005,1972-02-13,46.0%
357,Jurgen Fassbender,Germany,GER,false,1948-05-28,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,182-166,2000,1973-07-09,52.3%
278,Brian Fairlie,New Zealand,NZL,false,1948-06-13,7,7,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,231-228,2023,1973-04-16,50.3%
527,Bernard Mignot,Belgium,BEL,false,1948-12-03,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51-61,1895,1975-02-16,45.5%
272,Andrew Pattison,United States,USA,false,1949-01-30,7,7,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284-261,2060,1976-02-15,52.1%
35,Manuel Orantes,Spain,ESP,false,1949-02-06,107,93,10,4,21,9,17,0,44,2,5,5,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,3,35,0,713-282,2290,1975-09-10,71.7%
527,Hans Kary,Austria,AUT,false,1949-02-23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,166-229,1917,1976-05-24,42.0%
334,Bob Giltinan,Australia,AUS,false,1949-04-07,5,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,85-115,1864,1974-01-09,42.5%
272,Karl Meiler,Germany,GER,false,1949-04-30,7,7,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,253-192,2015,1976-08-16,56.9%
440,Mike Estep,United States,USA,false,1949-07-19,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,112-178,1887,1976-06-21,38.6%
527,Lars Elvstrom,Denmark,DEN,false,1949-08-18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15-21,1752,1976-01-25,41.7%
262,Patrick Proisy,France,FRA,false,1949-09-10,8,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,224-194,1972,1973-07-22,53.6%
237,Jeff Borowiak,United States,USA,false,1949-09-25,9,9,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,282-298,2079,1977-08-23,48.6%
635,Wanaro Ngodrella,France,FRA,false,1949-10-19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45-75,1837,1973-04-16,37.5%
440,Haroon Rahim,Pakistan,PAK,false,1949-11-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,142-170,1974,1976-03-08,45.5%
421,Antonio Zugarelli,Italy,ITA,false,1950-01-17,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115-155,1940,1977-07-10,42.6%
183,Phil Dent,Australia,AUS,false,1950-02-14,16,16,0,0,10,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,397-345,2075,1977-08-23,53.5%
93,Adriano Panatta,Italy,ITA,false,1950-07-09,39,36,2,1,15,0,6,0,13,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,11,0,408-248,2241,1976-06-14,62.2%
319,Jiri Hrebec,Czech Republic,CZE,false,1950-09-19,5,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,185-178,2013,1974-04-14,51.0%
397,Geoff Masters,Australia,AUS,false,1950-09-19,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,233-253,1997,1975-10-26,47.9%
421,Carlos Kirmayr,Brazil,BRA,false,1950-09-23,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,152-171,2010,1981-10-26,47.1%
527,Kjell Johansson,Sweden,SWE,false,1951-02-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124-143,1961,1978-05-22,46.4%
116,Dick Stockton,United States,USA,false,1951-02-18,29,28,0,1,6,3,11,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9,0,388-261,2212,1977-03-28,59.8%
440,Erik Van Dillen,United States,USA,false,1951-02-21,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,178-233,1976,1973-08-27,43.3%
58,Eddie Dibbs,United States,USA,false,1951-02-23,68,65,1,2,9,8,22,0,26,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,22,0,599-262,2282,1978-08-21,69.6%
527,Birger Andersson,Sweden,SWE,false,1951-03-26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37-69,1825,1975-08-01,34.9%
100,John Alexander,Australia,AUS,false,1951-07-04,35,34,0,1,8,1,14,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,8,0,570-426,2159,1975-04-07,57.2%
527,Jeff Austin,United States,USA,false,1951-07-05,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-81,1827,1974-02-03,39.1%
247,Paolo Bertolucci,Italy,ITA,false,1951-08-03,8,8,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,205-148,2052,1977-06-20,58.1%
207,Tim Gullikson,United States,USA,false,1951-09-08,12,12,0,0,1,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,272-223,2113,1978-12-11,54.9%
342,Tom Gullikson,United States,USA,false,1951-09-08,5,5,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,219-225,1965,1978-11-13,49.3%
46,Roscoe Tanner,United States,USA,false,1951-10-15,81,75,3,3,25,4,26,0,20,0,1,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,4,16,0,596-297,2261,1979-07-09,66.7%
200,Ross Case,Australia,AUS,false,1951-11-01,13,13,0,0,4,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,276-275,2070,1976-04-27,50.1%
357,Peter Feigl,Austria,AUT,false,1951-11-30,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,120-126,1959,1979-06-22,48.8%
48,Brian Gottfried,United States,USA,false,1952-01-27,80,73,5,2,9,9,23,0,31,1,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,25,0,698-330,2324,1977-03-28,67.9%
635,John Andrews,United States,USA,false,1952-02-05,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31-48,1878,1976-04-12,39.2%
149,Sandy Mayer,United States,USA,false,1952-04-05,22,22,0,0,4,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,370-199,2178,1978-04-03,65.0%
210,Kim Warwick,Australia,AUS,false,1952-04-08,12,12,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,280-266,2040,1981-01-09,51.3%
440,Terry Moor,United States,USA,false,1952-04-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,239-228,2035,1981-03-02,51.2%
103,Wojtek Fibak,Poland,POL,false,1952-08-03,35,34,0,1,4,3,10,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,540-314,2180,1977-06-06,63.2%
